JAPAN-A_Core マクロ経済複雑系シミュレーション結果
エクスポート日時,2026/06/17 21:31:50
[前提条件 (Inputs)]
項目,設定値,単位,実態適合スケーリング後/説明
初期名目GDP(Y0),691.9,兆円,開始時点(t=0)の名目GDP (実態適合)
初期政府債務残高(B0),1145.0,兆円,開始時点(t=0)の普通国債残高 (実態適合)
初期インフレ率(pi0),2.00,%,開始時点(t=0)の年率インフレ率
初期政策金利(r0),0.25,%,開始時点(t=0)の政策金利
初期長期金利(R0),3.00,%,開始時点(t=0)の長期金利 (リスクプレミアム加味)
初期為替レート(E0),150.0,円/ドル,開始時点(t=0)の為替レート
初期日銀国債保有量(BOJ0),588.4,兆円,開始時点(t=0)の日銀保有国債残高
初期民間保有国債(B_private0),556.6,兆円,開始時点(t=0)の民間部門保有国債残高
政府支出(G),100,兆円,実態適合スケーリング後: 91.0 兆円 (令和8年度予算ベース)
税率(tau),20,%,実効税率調整係数込で初期税収 83.7 兆円に適合
利上げ上限パルス(delta_r_max),0.25,%,1期(四半期)あたりの最大金利変更幅
目標インフレ率(pi_target),2.0,%,中央銀行 of Japan の政策金利調整基準インフレ目標
潜在GDP(Y_potential),500,兆円,実態適合スケーリング後: 691.9 兆円 (供給側上限)
日銀国債買い入れ額(Op),6.0,兆円/月,量的金融政策 (QT/QEの境界は 3.0 兆円/月)
シミュレーション期間(steps),120,期,1期=四半期 (合計: 30.0 年間)

[シミュレーション時系列データ (Outputs)]
期 (step),名目GDP (Y) [兆円],消費 (C) [兆円],投資 (I) [兆円],政府債務残高 (B) [兆円],税収 (T) [兆円],日銀保有国債 (B_boj) [兆円],日銀当座預金負債 (J_pos) [兆円],民間保有国債 (B_private) [兆円],インフレ率 (pi) [%],政策金利 (r) [%],長期金利 (R) [%],為替レート (USDJPY) [円/ドル],利払い費 (interest_payment) [兆円],当座預金付利負担 (boj_interest_payment) [兆円]
85,882.4530,485.3491,79.5567,3330.3543,106.7514,630.9000,543.6000,2699.4543,5.0625,15.9776,24.9692,171.8560,120.0987,88.2133
86,879.2706,483.5988,79.8125,3378.6605,106.3664,631.4000,543.6000,2747.2605,5.0357,15.7276,24.8457,171.9224,121.7369,86.8543
87,876.1786,481.8982,80.0832,3427.1300,105.9924,631.9000,543.6000,2795.2300,5.0094,15.4776,24.7199,172.0011,123.3751,85.4953
88,873.1779,480.2478,80.3693,3475.7599,105.6294,632.4000,543.6000,2843.3599,4.9839,15.2276,24.5915,172.0922,125.0130,84.1363
89,870.2691,478.6480,80.6711,3524.5475,105.2775,632.9000,543.6000,2891.6475,4.9594,14.9776,24.4607,172.1962,126.6504,82.7773
90,867.4528,477.0990,80.9890,3573.4896,104.9368,633.4000,543.6000,2940.0896,4.9358,14.7276,24.3272,172.3133,128.2870,81.4183
91,864.7292,475.6010,81.3233,3622.5832,104.6074,633.9000,543.6000,2988.6832,4.9133,14.4776,24.1910,172.4438,129.9225,80.0593
92,862.0985,474.1542,81.6741,3671.8252,104.2891,634.4000,543.6000,3037.4252,4.8920,14.2276,24.0523,172.5883,131.5566,78.7003
93,859.5609,472.7585,82.0418,3721.2122,103.9821,634.9000,543.6000,3086.3122,4.8720,13.9776,23.9108,172.7471,133.1889,77.3413
94,857.1164,471.4140,82.4266,3770.7410,103.6864,635.4000,543.6000,3135.3410,4.8532,13.7602,23.7665,172.9208,134.8194,75.9823
95,854.7511,470.1131,82.6880,3820.4621,103.4003,635.9000,543.6000,3184.5621,4.8359,13.5763,23.6521,173.1069,136.4844,74.8003
96,852.4501,468.8476,82.8210,3870.4289,103.1219,636.4000,543.6000,3234.0289,4.8200,13.3991,23.5687,173.3031,138.1885,73.8006
